index,action,mean,std,mean_abs,limit,mean_abs_over_limit,sat90_rate
0,radial,0.005899791005439559,0.005441717145497457,0.006312434496755651,0.02,0.31562172483778256,0.042379532255532884
1,tangent,-0.0019334320050028613,0.001451015593102428,0.0021583146150472967,0.02,0.10791573075236482,0.0
2,z,0.005992527268107383,0.007009482068461748,0.007374928887468855,0.03,0.2458309629156285,0.0
3,tilt_pitch,-0.00434185782297402,0.0011010070985663148,0.0043588401686506595,0.008,0.5448550210813324,0.0006278449223041908
4,tilt_roll,-0.0067170902716267526,0.0016466786572295713,0.00672315489540157,0.008,0.8403943619251962,0.5120075341390676
5,vz_scale,-0.02813621609853053,0.009481678631485848,0.028227416863431824,0.35,0.08064976246694808,0.0
6,outgoing_x,-0.1932437246672083,0.007326886860488273,0.1932437246672083,0.35,0.5521249276205952,0.0
7,outgoing_y,-0.049538231673038675,0.007433784843459216,0.049538231673038675,0.35,0.14153780478011052,0.0
8,racket_vz,-0.018630183924928313,0.011474930150609214,0.01933512463522489,0.45,0.042966943633833084,0.0
9,trajectory_tilt_scale,-0.05376641309420017,0.014686190421957889,0.05376641309420017,0.75,0.0716885507922669,0.0
10,centering_tilt_scale,-0.0073346204332772865,0.004985031397240299,0.007768694180200729,0.75,0.010358258906934306,0.0
11,racket_vx,0.04376438014199257,0.024102249952890533,0.043973681231836544,0.35,0.1256390892338187,0.0
12,racket_vy,-0.005263222488404383,0.010659673885801522,0.009785412521559228,0.35,0.027958321490169226,0.0
13,target_apex_z,0.019241865185271625,0.005024616548698425,0.019430154405668098,0.08,0.24287693007085123,0.0
14,strike_plane_z,0.016188263859954168,0.0074964176930457024,0.016242911116085647,0.025,0.6497164446434258,0.3266363208287553
15,tracking_vx,-0.0077144895891243515,0.0018582227902191745,0.007714751899814921,0.18,0.042859732776749565,0.0
16,tracking_vy,0.01921893191031072,0.0019567564169635366,0.01921893191031072,0.18,0.10677184394617067,0.0
